B,PyTorch,Chunk+Page
1.0,0.0,0.1
2.0,0.1,0.1
3.0,0.1,0.1
4.0,0.1,0.1
5.0,0.1,0.1
6.0,0.1,0.1
7.0,0.1,0.1
8.0,0.1,0.1
9.0,0.2,0.1
10.0,0.2,0.1
11.0,0.2,0.1
12.0,0.2,0.1
13.0,0.2,0.2
14.0,0.2,0.2
15.0,0.2,0.2
16.0,0.2,0.2
17.0,0.3,0.2
18.0,0.3,0.2
19.0,0.3,0.2
20.0,0.3,0.2
21.0,0.3,0.2
22.0,0.3,0.2
23.0,0.4,0.2
24.0,0.4,0.2
25.0,0.4,0.2
26.0,0.4,0.3
27.0,0.4,0.3
28.0,0.4,0.3
29.0,0.4,0.3
30.0,0.5,0.3
31.0,0.5,0.3
32.0,0.5,0.3
33.0,0.5,0.3
34.0,0.5,0.3
35.0,0.5,0.3
36.0,0.5,0.3
37.0,0.6,0.3
38.0,0.6,0.3
39.0,0.6,0.4
40.0,0.6,0.4
41.0,0.6,0.4
42.0,0.6,0.4
43.0,0.7,0.4
44.0,0.7,0.4
45.0,0.7,0.4
46.0,0.7,0.4
47.0,0.7,0.4
48.0,0.7,0.4
49.0,0.7,0.4
50.0,0.7,0.4
51.0,0.8,0.4
52.0,0.8,0.5
53.0,0.8,0.5
54.0,0.8,0.5
55.0,0.8,0.5
56.0,0.8,0.5
57.0,0.8,0.5
58.0,0.9,0.5
59.0,0.9,0.5
60.0,0.9,0.5
61.0,0.9,0.5
62.0,0.9,0.5
63.0,0.9,0.5
